account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
Track11John,2,41,0.7082,1,9.6722,13.9714,-2.2635,70.66,0.9777,215
nickthegreek5,2,41,0.6553,2,6.7406,11.8562,-1.4051,80.07,1.0,281
giannMak,2,41,0.6164,3,5.2672,10.4836,-1.3385,65.35,0.9744,191
46spiros,2,41,0.6162,4,6.1294,11.1154,-1.8594,81.49,1.0,156
K_Sav215,2,41,0.5982,5,8.3815,8.1684,-2.6472,52.17,0.6786,51
hatz_patty,2,41,0.5901,6,4.2751,9.2502,-0.5605,68.19,0.9455,77
GiotaPapapetrou,2,41,0.585,7,4.4221,8.3594,0.0097,62.1,0.981,17
n_palaiopanou,1,156,0.5814,8,7.9443,-4.0586,-7.1368,0.0,0.0,0
Agie2a,2,41,0.5808,9,4.2494,5.2772,-0.2467,46.53,0.6818,24
RockRock222555,2,41,0.5659,10,5.3571,9.3892,-2.413,54.69,0.7083,90
Abovelaw13,1,156,0.5652,11,6.3828,1.089,-1.0136,25.49,0.4375,0
paliakaravana59,2,41,0.5618,12,3.9488,7.6316,-1.2365,77.43,1.0,38
Briassulis,2,41,0.561,13,4.8854,8.9166,-2.2362,54.18,0.6909,75
JtfYiannis,1,156,0.5565,14,5.0915,1.1087,0.7562,55.0,1.0,6
NodarasSpiros,1,156,0.5514,15,5.8201,2.1218,0.0076,17.08,0.2143,9
AgelisDimitris,2,41,0.5495,16,4.7247,9.8703,-1.8778,61.04,0.8889,113
Loxagos_Mark,2,41,0.5475,17,3.7305,6.0599,0.5524,69.58,1.0,43
Anthology2026,2,41,0.5457,18,5.5147,2.2834,-2.2224,46.8,0.7895,6
vythos70,2,41,0.5416,19,3.3043,8.1165,-0.4431,62.62,0.9434,52
tasoskar11,1,156,0.5394,20,4.7803,0.934,-0.5829,48.33,1.0,7
ArisBJJ,2,41,0.539,21,4.6145,3.6212,-0.3824,42.42,0.7692,11
angelikitsakani,2,41,0.537,22,3.5768,9.0396,-0.5726,82.98,1.0,107
TheocharousH,1,156,0.5358,23,7.7839,-4.436,-6.8084,0.0,0.0,0
aggelikiME25,2,41,0.5349,24,5.6692,2.6572,1.3193,61.05,0.9615,0
DonConsclavios,2,41,0.5345,25,4.2266,4.2419,-1.3738,61.07,1.0,24
Drifter_1066,1,156,0.5318,26,7.8284,-4.5119,-6.8218,0.0,0.0,0
ThanosTzimeros,2,41,0.5304,27,3.6754,4.759,0.1858,45.46,0.7273,10
Apstolos14616,1,156,0.5287,28,8.2994,-3.3376,-2.5409,0.0,0.0,0
NonameTZ,2,41,0.5226,29,4.5158,2.9716,-0.5522,62.08,1.0,16
mpantazo,2,41,0.522,30,3.5945,4.1695,-0.2458,46.89,0.9231,28
EAdamopoulou,1,156,0.5196,31,5.1805,-1.291,1.6555,36.67,0.3333,0
G4Heron,1,156,0.5189,32,5.0051,1.5459,1.7309,54.89,0.9375,0
greek_paris_13,2,41,0.5171,33,4.1972,3.6716,0.7053,52.63,0.9412,2
silaserafim,1,156,0.5171,34,5.4335,2.0923,1.6277,64.46,1.0,2
chrysib11,2,41,0.5166,35,2.9827,8.0755,-0.1732,80.83,1.0,77
MenoEdo,2,41,0.5163,36,2.6361,6.7301,-1.1907,48.66,0.8857,62
MasenkaMm230158,2,41,0.5153,37,2.4556,6.6023,-1.351,77.7,1.0,45
JSweetGR,1,156,0.5121,38,5.2103,1.6507,0.3969,35.42,0.8333,8
anasiropiastos,1,156,0.5117,39,3.472,0.1214,-1.0211,28.92,0.6,2
InafiZinaf1,1,156,0.5099,40,3.6257,-0.8103,-0.8095,40.0,1.0,6
galex1908,2,41,0.5096,41,4.0093,4.086,1.367,68.33,1.0,15
johnblandos,2,41,0.5094,42,2.2891,7.0143,-0.8815,60.91,0.875,40
MoudilosV,1,156,0.5083,43,4.851,-2.2619,-0.2878,0.0,0.0,0
sinakatsarou,2,41,0.5008,44,2.3145,7.7914,-0.6338,64.47,0.973,49
Volcom40893832,1,156,0.499,45,4.0999,0.6771,0.1958,42.92,1.0,10
Evitel_,1,156,0.4985,46,5.0798,-1.8415,2.2489,60.0,1.0,0
madonnamaniac,1,156,0.4966,47,4.3466,0.757,0.9208,65.83,1.0,0
SagamoreMount,1,156,0.4961,48,4.3677,1.1482,-1.4001,38.75,1.0,7
TheMadoula,2,41,0.4948,49,3.6195,4.0858,0.1451,67.14,1.0,18
ThanosKten,1,156,0.4948,50,4.8284,-2.097,1.1422,60.0,1.0,0
Fotinh5,2,41,0.4936,51,4.8087,2.4973,0.9297,69.58,1.0,8
Aaagiiisss,2,41,0.4933,52,3.532,4.7186,-0.0917,69.9,1.0,20
klikr,2,41,0.4917,53,3.1952,3.9684,-0.5025,51.38,0.9412,15
AnAthenianToLDN,1,156,0.4906,54,4.4798,0.7761,1.3056,35.13,0.6364,0
LGkvas,2,41,0.4896,55,4.0006,3.5133,-0.2018,60.42,1.0,18
steiger_st28082,1,156,0.4878,56,4.5201,1.7332,0.0927,32.92,0.6667,6
MKioulafa,2,41,0.4877,57,3.0363,4.0629,0.3148,50.07,0.9091,10
g_m_theo,1,156,0.4873,58,4.0579,-1.2673,1.9071,36.67,0.3333,0
Xeniaxe19580370,2,41,0.486,59,4.9719,2.3223,-0.6855,60.77,1.0,9
PitSpencer,2,41,0.4858,60,3.0374,4.6718,-0.5469,70.72,1.0,29
DvsDvs60195368,1,156,0.4857,61,4.9521,-2.4085,-0.0974,0.0,0.0,0
Greekprn,1,156,0.4803,62,4.1891,-1.3593,1.212,16.25,0.1429,0
John_Fletcher70,1,156,0.4802,63,3.9389,-2.1744,-0.3126,0.0,0.0,0
Kabamaru__n,1,156,0.4798,64,4.2841,-2.7646,-1.4965,46.25,1.0,0
xariszak2,1,156,0.4779,65,7.3151,-1.2164,0.1572,45.83,1.0,0
TsigkaEfi,2,41,0.4775,66,3.9128,3.0299,-0.2645,66.39,1.0,17
evangelia_re,1,156,0.4768,67,3.7756,0.7379,1.1863,42.08,0.75,2
ABCHeckles,2,41,0.4761,68,3.8558,3.6985,1.1693,72.21,1.0,17
nilsholgerson_,1,156,0.4734,69,3.944,0.7477,1.4643,49.58,1.0,2
EthanAnargyrous,1,156,0.4719,70,3.6698,0.9685,0.2848,42.08,0.75,4
Guson653566,1,156,0.4714,71,7.788,-4.6067,-6.7432,0.0,0.0,0
HFirstpriest,1,156,0.4714,72,7.788,-4.6067,-6.7432,0.0,0.0,0
Lollos1242232,1,156,0.4714,73,7.788,-4.6067,-6.7432,0.0,0.0,0
Pi8kiavlozampis,1,156,0.4714,74,7.788,-4.6067,-6.7432,0.0,0.0,0
christoskostaki,1,156,0.4714,75,7.788,-4.6067,-6.7432,0.0,0.0,0
myga_tse,1,156,0.4714,76,7.788,-4.6067,-6.7432,0.0,0.0,0
CharilaosPapad1,1,156,0.4711,77,4.0398,1.3741,-0.3981,60.5,1.0,4
omadaalithias,1,156,0.4696,78,4.874,-2.9549,0.504,0.0,0.0,0
theatropoios,1,156,0.4685,79,3.9939,0.698,0.4046,47.65,0.9167,0
ChrisDarko39,1,156,0.4678,80,4.2383,-1.4827,2.2437,61.25,1.0,0
ellada24,1,156,0.4676,81,4.8567,-2.6058,0.4272,0.0,0.0,0
Tiramolas_,1,156,0.4675,82,3.9061,-3.0974,-2.8662,0.0,0.0,0
phtochos1,1,156,0.4675,83,4.0519,-1.4485,2.4338,43.75,0.5,0
IK25818385,1,156,0.4667,84,4.0041,0.1052,1.2634,65.25,1.0,0
Catps66,2,41,0.4666,85,3.2767,4.0252,0.0033,72.5,1.0,13
Veltsi_Legacy,1,156,0.4659,86,4.5379,-2.6289,-0.9185,0.0,0.0,0
GeorghyZhukov,1,156,0.4657,87,4.6794,-3.0138,0.8298,0.0,0.0,0
Myrtilo01,1,156,0.4646,88,3.5507,-0.2946,0.5732,61.88,1.0,0
nikglykos,1,156,0.4633,89,3.7999,-2.6292,0.7639,0.0,0.0,0
Fay82776914F,2,41,0.4633,90,3.6562,3.0687,0.1062,65.36,1.0,10
Tina5996,1,156,0.4626,91,3.982,-2.1038,0.8268,60.0,1.0,0
ippotech,1,156,0.4624,92,3.109,-0.7079,1.1563,31.25,0.5,0
bolltzmann,1,156,0.4614,93,4.3373,-2.0528,2.4707,46.25,1.0,0
ScroogeKifissia,1,156,0.4612,94,4.0796,0.4966,1.8485,43.86,0.9,0
ptableart,1,156,0.4606,95,3.8558,0.6341,-0.3562,50.0,1.0,4
dimitris7987,1,156,0.4597,96,3.1902,0.2036,-0.1163,42.08,1.0,2
MariaKoki3,1,156,0.4593,97,3.4644,0.7279,0.415,38.0,0.8,4
teo_ntaleki,1,156,0.459,98,4.4313,2.1005,-0.1139,60.42,1.0,8
KosmidisStathis,1,156,0.4571,99,3.6234,0.7199,1.2717,34.25,0.8,2
foivos_trikkis_,1,156,0.4557,100,4.1389,0.5145,-0.2868,26.67,0.5,0
olofwti_agapi,1,156,0.4557,101,3.6169,-2.7945,-1.6055,0.0,0.0,0
chkls,1,156,0.4515,102,3.697,0.6131,1.2335,61.88,1.0,0
jparthen,1,156,0.4509,103,2.9856,-0.6973,0.1042,32.08,0.75,0
LosKarabou79397,1,156,0.4503,104,3.6395,-3.2341,-2.2896,0.0,0.0,0
AstyMpekas,1,156,0.45,105,3.3792,-2.7349,-1.8511,0.0,0.0,0
ZbejVty,1,156,0.4495,106,3.2295,0.0853,1.3146,42.17,0.8333,0
themagus2022,1,156,0.4491,107,7.2869,-1.4369,0.0533,42.08,1.0,0
LitsaXarou,1,156,0.4473,108,3.6348,-0.4084,2.839,61.0,1.0,0
BananaJoeReload,1,156,0.4467,109,3.5295,0.0624,2.2135,60.83,1.0,0
frel_elias,1,156,0.4463,110,3.698,-0.968,1.0942,30.83,0.6667,0
MatrimC110073,1,156,0.4463,111,4.0092,-3.0678,-0.2431,0.0,0.0,0
hellaspecial,1,156,0.4461,112,3.874,-1.2175,2.1442,42.5,1.0,0
JimyWis,1,156,0.4452,113,3.2148,0.2192,0.5677,47.08,1.0,2
Mrpresidentgr,1,156,0.4451,114,3.7387,-0.623,1.3233,30.83,0.75,0
parodynews,1,156,0.4433,115,3.149,-1.6887,1.57,22.92,0.3333,0
moonshinegr,1,156,0.4405,116,3.8893,-1.7544,1.5226,60.0,1.0,0
Rinokeros2023,1,156,0.4401,117,3.5764,-3.2199,-2.0509,0.0,0.0,0
AthanasiouCccp,1,156,0.439,118,3.2126,0.1907,1.4369,35.0,0.7143,0
GP_74_,1,156,0.4372,119,1.9552,-1.2707,0.5126,35.83,0.6667,0
57lista,1,156,0.436,120,2.879,0.147,0.3607,35.83,0.75,2
anarchistdonkey,1,156,0.4357,121,3.9869,0.4665,1.2303,41.36,0.9,0
gospodinmedvedd,1,156,0.4357,122,3.1105,-2.6972,-1.5207,0.0,0.0,0
kostasagg1965,1,156,0.4336,123,2.2656,-1.1058,1.0229,38.33,0.6667,0
Placebo_0,1,156,0.4331,124,3.5884,-0.1156,1.2525,30.12,0.625,0
hermesjk,1,156,0.4323,125,3.2662,-3.1483,-0.7726,0.0,0.0,0
pOURc3ero9j906K,1,156,0.4318,126,3.8916,-1.7277,1.8826,61.25,1.0,0
MariaKagia4603,1,156,0.4309,127,2.6271,-1.128,-0.4918,41.25,1.0,0
Anna_Moun,1,156,0.4307,128,3.8674,-1.6621,1.9154,60.0,1.0,0
DimitrisP69501,1,156,0.4305,129,3.2804,-2.7259,-0.6395,46.25,1.0,0
Realism_47,1,156,0.4305,130,3.943,-1.8071,2.0738,60.0,1.0,0
anastassios2401,1,156,0.4303,131,3.1634,0.044,1.8246,41.67,0.8571,0
TheSurigata,1,156,0.4278,132,3.0719,-2.9818,-0.7888,0.0,0.0,0
Wwwwww42362442,1,156,0.4277,133,3.3499,-2.5074,-0.0399,0.0,0.0,0
Tasos3025749307,1,156,0.4266,134,3.2958,-3.3696,-1.788,0.0,0.0,0
kikirik_nik,1,156,0.4261,135,3.3883,-3.2809,-0.5391,0.0,0.0,0
panagitsma78169,1,156,0.4261,136,3.2505,-3.3835,-1.7363,0.0,0.0,0
amantomatimou,1,156,0.426,137,3.4309,-0.5452,0.5327,25.0,0.5,0
trescommeilfaut,1,156,0.4253,138,3.3356,-3.0235,-0.5519,0.0,0.0,0
steliostso,1,156,0.4243,139,3.5405,-2.9655,0.7232,0.0,0.0,0
Asmoudis13,1,156,0.4237,140,3.1299,-2.277,-0.1586,46.25,1.0,0
kontologis,1,156,0.4234,141,3.4385,-3.0077,0.5048,0.0,0.0,0
AndriotGreg,1,156,0.4227,142,3.8223,-1.7405,1.8075,61.25,1.0,0
HouseElisabeth_,1,156,0.4226,143,2.8945,-0.9706,0.4475,42.5,1.0,0
agnwstos_x_,1,156,0.4218,144,2.8086,-1.7417,1.1869,20.0,0.25,0
VIVITV5,1,156,0.4202,145,2.4647,-1.3115,1.7818,48.75,1.0,0
ledentiste2,1,156,0.4201,146,2.442,-0.2522,1.0769,39.25,0.8,0
Konstan18155165,1,156,0.4196,147,3.2347,-2.5657,-0.59,46.25,1.0,0
isidoragiou1,1,156,0.4185,148,2.4857,-2.1972,0.4009,28.75,0.5,0
ArgirNik,1,156,0.4181,149,2.5886,-1.821,0.9602,22.92,0.3333,0
nikos_aggelakis,1,156,0.4176,150,2.9748,-2.7357,-0.5101,0.0,0.0,0
maus_miny,1,156,0.4139,151,3.0205,-2.8793,0.1678,0.0,0.0,0
michael_exc,1,156,0.413,152,2.8549,-0.9514,0.7925,42.5,1.0,0
dkDurcGYTIpZdKl,1,156,0.4129,153,2.4632,-1.7835,1.4795,28.75,0.5,0
Nogate_T,1,156,0.4125,154,2.9994,-1.9039,2.5315,45.0,1.0,0
aikarerina,1,156,0.4115,155,2.9558,-2.9257,0.1568,0.0,0.0,0
RGialama8386,1,156,0.4113,156,2.8219,-2.4125,-0.1115,46.25,1.0,0
consue_banana_,1,156,0.4108,157,2.9842,-2.978,-0.112,0.0,0.0,0
Torquem21743459,1,156,0.4104,158,2.2819,-1.4615,0.7894,41.25,1.0,0
QuercusLg,1,156,0.4099,159,2.6831,-0.5614,1.2557,43.75,1.0,0
communakios,1,156,0.4088,160,2.63,-2.1038,1.6493,45.0,1.0,0
PanosStayis,1,156,0.4083,161,2.049,-2.2569,0.0981,28.75,0.5,0
4lhc_athens,1,156,0.4079,162,3.1486,-3.5256,-1.6589,0.0,0.0,0
aekzurich21,1,156,0.4078,163,2.1803,-1.7942,0.4803,40.0,1.0,0
failosK,1,156,0.4076,164,3.5115,-2.8851,1.0336,0.0,0.0,0
Sunflower19731,1,156,0.4075,165,3.0296,-3.2652,-1.2173,0.0,0.0,0
lafillemalgard1,1,156,0.405,166,2.8191,-0.7164,1.2959,35.5,0.8,0
Anastasia7882,1,156,0.4043,167,2.5413,-0.6782,0.6519,42.5,1.0,0
Dv500x,1,156,0.4033,168,2.8293,-3.1175,-0.7296,0.0,0.0,0
economi94461498,1,156,0.4029,169,2.6625,-1.9912,1.5491,46.25,1.0,0
margko73,1,156,0.402,170,3.0117,-0.9409,1.5695,42.5,1.0,0
KyrPantelis3,1,156,0.4014,171,1.5159,-1.6233,0.5039,29.58,0.6667,0
bobidion,1,156,0.4009,172,3.0753,-2.0563,2.1526,46.25,1.0,0
PhunkD14,1,156,0.3974,173,2.8719,-3.3186,-0.7675,0.0,0.0,0
lordos_noble,1,156,0.3968,174,2.9201,-3.0911,0.0677,0.0,0.0,0
kefalaiouxos,1,156,0.3941,175,2.8939,-3.2978,-0.7106,0.0,0.0,0
le1li,1,156,0.3938,176,2.8437,-2.312,1.1931,46.25,1.0,0
PiraeusStef,1,156,0.3916,177,2.9402,-2.1253,1.8737,46.25,1.0,0
pJNs4ACgiayAknX,1,156,0.3911,178,2.911,-3.0881,0.1759,0.0,0.0,0
pnevan11,1,156,0.3905,179,2.0658,-2.2617,0.9092,28.75,0.5,0
giorgosgreen,1,156,0.3904,180,2.822,-3.24,-0.407,0.0,0.0,0
papa_vaso,1,156,0.3844,181,2.8219,-2.2092,1.5325,46.25,1.0,0
despica67766915,1,156,0.3844,182,1.9868,-2.2384,0.9411,28.75,0.5,0
akrokentrwos_2,1,156,0.3842,183,2.7904,-2.032,2.1873,46.25,1.0,0
NickDanny99,1,156,0.3831,184,2.8227,-2.2208,1.5098,46.25,1.0,0
agapornis_mask,1,156,0.3825,185,2.6026,-2.3547,0.9528,46.25,1.0,0
loudovikos14os,1,156,0.3824,186,2.5623,-2.4303,1.1672,45.0,1.0,0
kostasp194,1,156,0.3816,187,2.7555,-2.1752,2.2041,45.0,1.0,0
RXRqdEgogik2Z9P,1,156,0.3814,188,2.0879,-2.1682,1.2328,28.75,0.5,0
Leniw_Lenia,1,156,0.3808,189,2.4,-2.1544,0.9996,46.25,1.0,0
CMentat,1,156,0.3796,190,2.44,-2.3859,0.7352,46.25,1.0,0
OratiosPoulos,1,156,0.3794,191,2.6253,-2.2501,1.8511,45.0,1.0,0
kokkoriss,1,156,0.3782,192,2.5904,-2.1267,1.8246,46.25,1.0,0
TetraLogiki,1,156,0.3754,193,2.5866,-2.2587,1.8687,45.0,1.0,0
DDeppied,1,156,0.3745,194,2.6123,-2.0701,2.0571,46.25,1.0,0
FrankiKostas,1,156,0.3725,195,2.611,-2.055,2.094,46.25,1.0,0
Kostas18748292,1,156,0.3715,196,2.3878,-2.2599,1.2566,46.25,1.0,0
matrixneo1979,1,156,0.3685,197,2.5255,-2.111,1.8863,46.25,1.0,0
