account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
Briassulis,Track11John,26,0.1126,2,18
Track11John,nickthegreek5,23,0.0674,11,20
giannMak,nickthegreek5,23,0.1162,5,17
Track11John,giannMak,19,0.0688,4,10
AgelisDimitris,nickthegreek5,17,0.085,1,10
46spiros,nickthegreek5,16,0.0687,0,7
46spiros,Track11John,15,0.0487,0,7
angelikitsakani,giannMak,15,0.1327,0,1
RockRock222555,nickthegreek5,12,0.0652,1,10
46spiros,AgelisDimitris,12,0.0732,0,8
hatz_patty,nickthegreek5,11,0.0591,3,7
AgelisDimitris,Track11John,11,0.0393,2,5
46spiros,giannMak,11,0.0651,0,4
Track11John,chrysib11,10,0.0408,2,3
46spiros,angelikitsakani,10,0.0685,1,3
chrysib11,giannMak,10,0.098,1,4
RockRock222555,giannMak,10,0.0855,0,7
angelikitsakani,nickthegreek5,10,0.0535,0,2
46spiros,RockRock222555,9,0.0616,3,7
nickthegreek5,paliakaravana59,9,0.0437,3,6
Briassulis,giannMak,9,0.0857,2,6
nickthegreek5,sinakatsarou,9,0.0523,2,8
nickthegreek5,vythos70,9,0.0484,1,3
Loxagos_Mark,nickthegreek5,9,0.0563,0,1
Track11John,angelikitsakani,9,0.0344,0,0
giannMak,johnblandos,9,0.0882,0,5
johnblandos,nickthegreek5,9,0.0526,0,2
MenoEdo,nickthegreek5,8,0.0476,1,4
Track11John,hatz_patty,8,0.0304,1,3
chrysib11,nickthegreek5,8,0.0462,1,3
46spiros,chrysib11,8,0.0606,0,7
MenoEdo,Track11John,8,0.0331,0,3
RockRock222555,Track11John,7,0.0266,1,7
giannMak,hatz_patty,7,0.0579,0,3
Track11John,sinakatsarou,6,0.0241,3,5
AgelisDimitris,paliakaravana59,6,0.0441,2,5
K_Sav215,Track11John,6,0.0239,2,3
MasenkaMm230158,nickthegreek5,6,0.0339,2,5
giannMak,sinakatsarou,6,0.0566,1,4
AgelisDimitris,giannMak,6,0.0423,0,5
Briassulis,nickthegreek5,6,0.0339,0,2
Track11John,johnblandos,6,0.0242,0,3
giannMak,vythos70,6,0.05,0,1
46spiros,ThanosTzimeros,5,0.0435,3,5
AgelisDimitris,RockRock222555,5,0.0424,2,5
K_Sav215,giannMak,5,0.0459,1,3
Track11John,vythos70,5,0.0189,1,1
hatz_patty,sinakatsarou,5,0.0602,1,5
46spiros,Loxagos_Mark,5,0.0407,0,3
46spiros,paliakaravana59,5,0.0296,0,3
AgelisDimitris,MenoEdo,5,0.051,0,2
AgelisDimitris,angelikitsakani,5,0.042,0,0
AgelisDimitris,vythos70,5,0.0427,0,3
Briassulis,angelikitsakani,5,0.0588,0,1
Catps66,Track11John,5,0.0215,0,0
LGkvas,nickthegreek5,5,0.0329,0,2
MenoEdo,PitSpencer,5,0.1111,0,0
MenoEdo,angelikitsakani,5,0.0641,0,2
RockRock222555,angelikitsakani,5,0.051,0,0
RockRock222555,chrysib11,5,0.061,0,2
angelikitsakani,vythos70,5,0.0515,0,3
mpantazo,nickthegreek5,5,0.0329,0,1
MenoEdo,giannMak,4,0.0388,2,3
46spiros,sinakatsarou,4,0.0294,1,4
AgelisDimitris,GiotaPapapetrou,4,0.0234,1,3
GiotaPapapetrou,nickthegreek5,4,0.0164,1,1
MKioulafa,giannMak,4,0.0488,1,3
angelikitsakani,chrysib11,4,0.0476,1,4
giannMak,mpantazo,4,0.0476,1,1
46spiros,K_Sav215,4,0.029,0,1
46spiros,MasenkaMm230158,4,0.029,0,2
46spiros,MenoEdo,4,0.0305,0,1
ABCHeckles,AgelisDimitris,4,0.0494,0,1
ABCHeckles,nickthegreek5,4,0.026,0,0
Aaagiiisss,nickthegreek5,4,0.0241,0,4
AgelisDimitris,TheMadoula,4,0.0488,0,1
AgelisDimitris,TsigkaEfi,4,0.0519,0,0
AgelisDimitris,hatz_patty,4,0.0333,0,2
Agie2a,angelikitsakani,4,0.0635,0,2
ArisBJJ,nickthegreek5,4,0.0265,0,2
DonConsclavios,Track11John,4,0.0175,0,4
Fay82776914F,MasenkaMm230158,4,0.0976,0,1
K_Sav215,angelikitsakani,4,0.0465,0,2
K_Sav215,nickthegreek5,4,0.0223,0,2
MasenkaMm230158,RockRock222555,4,0.0471,0,2
MenoEdo,hatz_patty,4,0.0506,0,1
NonameTZ,nickthegreek5,4,0.0272,0,1
PitSpencer,nickthegreek5,4,0.025,0,0
TheMadoula,Track11John,4,0.0175,0,0
TheMadoula,nickthegreek5,4,0.0258,0,0
Track11John,galex1908,4,0.0174,0,1
TsigkaEfi,nickthegreek5,4,0.0267,0,0
angelikitsakani,hatz_patty,4,0.04,0,2
angelikitsakani,mpantazo,4,0.0667,0,3
Briassulis,RockRock222555,3,0.0349,2,2
chrysib11,vythos70,3,0.0361,2,3
paliakaravana59,vythos70,3,0.0256,2,2
46spiros,hatz_patty,3,0.0196,1,3
46spiros,mpantazo,3,0.0265,1,3
AgelisDimitris,Briassulis,3,0.028,1,1
Agie2a,Track11John,3,0.013,1,2
ArisBJJ,Track11John,3,0.0133,1,3
Briassulis,DonConsclavios,3,0.0612,1,1
Briassulis,johnblandos,3,0.0429,1,3
GiotaPapapetrou,Track11John,3,0.0094,1,1
MenoEdo,sinakatsarou,3,0.0469,1,2
RockRock222555,Xeniaxe19580370,3,0.0492,1,3
RockRock222555,johnblandos,3,0.0361,1,2
46spiros,ABCHeckles,3,0.0263,0,0
46spiros,Agie2a,3,0.0259,0,0
46spiros,NonameTZ,3,0.028,0,2
46spiros,vythos70,3,0.0199,0,1
Agie2a,RockRock222555,3,0.0476,0,0
Agie2a,giannMak,3,0.0341,0,0
Briassulis,chrysib11,3,0.0423,0,3
Briassulis,hatz_patty,3,0.0345,0,2
Briassulis,vythos70,3,0.0353,0,1
DonConsclavios,chrysib11,3,0.0638,0,0
DonConsclavios,giannMak,3,0.0345,0,1
DonConsclavios,nickthegreek5,3,0.0192,0,3
K_Sav215,chrysib11,3,0.0423,0,1
K_Sav215,sinakatsarou,3,0.0423,0,0
LGkvas,Loxagos_Mark,3,0.0909,0,2
Loxagos_Mark,Track11John,3,0.0125,0,0
Loxagos_Mark,giannMak,3,0.0309,0,0
MasenkaMm230158,hatz_patty,3,0.0345,0,1
NodarasSpiros,nickthegreek5,3,0.0207,0,1
NonameTZ,giannMak,3,0.038,0,1
PitSpencer,Track11John,3,0.0128,0,0
PitSpencer,giannMak,3,0.0326,0,0
RockRock222555,sinakatsarou,3,0.0357,0,3
SagamoreMount,nickthegreek5,3,0.0205,0,3
ThanosTzimeros,nickthegreek5,3,0.019,0,1
Track11John,TsigkaEfi,3,0.0133,0,0
Track11John,mpantazo,3,0.0132,0,0
chrysib11,hatz_patty,3,0.0353,0,3
chrysib11,sinakatsarou,3,0.0435,0,1
galex1908,giannMak,3,0.0341,0,0
giannMak,paliakaravana59,3,0.021,0,0
klikr,nickthegreek5,3,0.019,0,0
mpantazo,sinakatsarou,3,0.0667,0,1
nickthegreek5,tasoskar11,3,0.0207,0,2
AgelisDimitris,chrysib11,2,0.0189,2,2
46spiros,PitSpencer,2,0.0165,1,2
46spiros,SagamoreMount,2,0.0189,1,2
AgelisDimitris,Fay82776914F,2,0.026,1,1
AgelisDimitris,MasenkaMm230158,2,0.0185,1,1
Anthology2026,angelikitsakani,2,0.0308,1,2
ArisBJJ,hatz_patty,2,0.0333,1,2
CharilaosPapad1,RockRock222555,2,0.037,1,1
DonConsclavios,hatz_patty,2,0.0312,1,2
JtfYiannis,RockRock222555,2,0.0392,1,2
K_Sav215,hatz_patty,2,0.0227,1,1
LGkvas,angelikitsakani,2,0.0323,1,2
LGkvas,chrysib11,2,0.0435,1,1
LGkvas,vythos70,2,0.0333,1,1
Loxagos_Mark,klikr,2,0.0526,1,1
MKioulafa,Track11John,2,0.0088,1,2
MasenkaMm230158,TsigkaEfi,2,0.0444,1,1
NodarasSpiros,giannMak,2,0.026,1,1
PitSpencer,angelikitsakani,2,0.029,1,2
PitSpencer,chrysib11,2,0.0377,1,1
RockRock222555,ThanosTzimeros,2,0.0308,1,2
TheMadoula,anasiropiastos,2,0.1333,1,2
chrysib11,johnblandos,2,0.029,1,1
galex1908,hatz_patty,2,0.0308,1,2
giannMak,tasoskar11,2,0.026,1,1
nickthegreek5,teo_ntaleki,2,0.0134,1,1
46spiros,Aaagiiisss,2,0.0157,0,0
46spiros,Briassulis,2,0.0143,0,2
46spiros,Catps66,2,0.0165,0,2
46spiros,DonConsclavios,2,0.0172,0,1
46spiros,EthanAnargyrous,2,0.019,0,0
46spiros,Fotinh5,2,0.0185,0,0
46spiros,JSweetGR,2,0.0187,0,0
46spiros,JimyWis,2,0.019,0,1
46spiros,Volcom40893832,2,0.019,0,0
46spiros,klikr,2,0.0169,0,1
46spiros,silaserafim,2,0.0172,0,2
57lista,angelikitsakani,2,0.0377,0,0
ABCHeckles,LGkvas,2,0.087,0,0
ABCHeckles,paliakaravana59,2,0.0247,0,1
ABCHeckles,vythos70,2,0.0328,0,0
Aaagiiisss,Anthology2026,2,0.0526,0,0
Aaagiiisss,PitSpencer,2,0.0476,0,0
Aaagiiisss,RockRock222555,2,0.027,0,1
Aaagiiisss,Xeniaxe19580370,2,0.0556,0,2
Aaagiiisss,angelikitsakani,2,0.0267,0,0
Aaagiiisss,giannMak,2,0.0202,0,1
Aaagiiisss,teo_ntaleki,2,0.069,0,2
AgelisDimitris,ArisBJJ,2,0.025,0,0
AgelisDimitris,K_Sav215,2,0.0185,0,0
AgelisDimitris,Loxagos_Mark,2,0.0213,0,0
AgelisDimitris,NodarasSpiros,2,0.0274,0,0
AgelisDimitris,NonameTZ,2,0.0263,0,2
AgelisDimitris,PitSpencer,2,0.0225,0,0
Agie2a,chrysib11,2,0.0408,0,1
Agie2a,nickthegreek5,2,0.0127,0,0
Agie2a,nilsholgerson_,2,0.125,0,2
Agie2a,teo_ntaleki,2,0.1053,0,1
Anthology2026,giannMak,2,0.0225,0,0
Briassulis,K_Sav215,2,0.027,0,2
Briassulis,Loxagos_Mark,2,0.0333,0,0
Briassulis,galex1908,2,0.0392,0,1
Catps66,K_Sav215,2,0.0364,0,1
Catps66,giannMak,2,0.0215,0,0
Catps66,nickthegreek5,2,0.0123,0,0
CharilaosPapad1,nickthegreek5,2,0.0135,0,2
DonConsclavios,Loxagos_Mark,2,0.0556,0,0
DonConsclavios,MasenkaMm230158,2,0.04,0,2
EthanAnargyrous,nickthegreek5,2,0.0137,0,1
Fay82776914F,TsigkaEfi,2,0.1429,0,1
Fay82776914F,nickthegreek5,2,0.0133,0,1
Fotinh5,K_Sav215,2,0.0476,0,2
Fotinh5,nickthegreek5,2,0.0134,0,0
Fotinh5,sinakatsarou,2,0.05,0,1
GiotaPapapetrou,giannMak,2,0.0113,0,0
GiotaPapapetrou,hatz_patty,2,0.0131,0,1
GiotaPapapetrou,johnblandos,2,0.0147,0,0
InafiZinaf1,giannMak,2,0.0263,0,0
InafiZinaf1,hatz_patty,2,0.0385,0,0
InafiZinaf1,nickthegreek5,2,0.0138,0,0
JSweetGR,MariaKoki3,2,0.2857,0,0
JSweetGR,MasenkaMm230158,2,0.0488,0,2
JSweetGR,nickthegreek5,2,0.0135,0,1
JtfYiannis,MasenkaMm230158,2,0.0526,0,0
JtfYiannis,nickthegreek5,2,0.0138,0,1
K_Sav215,Loxagos_Mark,2,0.0333,0,1
K_Sav215,MenoEdo,2,0.0299,0,0
K_Sav215,johnblandos,2,0.0282,0,1
K_Sav215,klikr,2,0.0385,0,1
K_Sav215,mpantazo,2,0.0417,0,0
K_Sav215,vythos70,2,0.0233,0,2
KosmidisStathis,MasenkaMm230158,2,0.05,0,1
LGkvas,giannMak,2,0.0233,0,2
Loxagos_Mark,MenoEdo,2,0.0377,0,1
Loxagos_Mark,angelikitsakani,2,0.027,0,2
Loxagos_Mark,chrysib11,2,0.0345,0,0
Loxagos_Mark,greek_paris_13,2,0.0526,0,1
Loxagos_Mark,johnblandos,2,0.0351,0,0
MKioulafa,galex1908,2,0.087,0,0
MKioulafa,hatz_patty,2,0.0333,0,1
MariaKoki3,MasenkaMm230158,2,0.05,0,1
MasenkaMm230158,MenoEdo,2,0.0299,0,0
MasenkaMm230158,TheMadoula,2,0.04,0,0
MasenkaMm230158,Track11John,2,0.0078,0,2
MasenkaMm230158,Volcom40893832,2,0.0513,0,0
MasenkaMm230158,giannMak,2,0.0179,0,0
MenoEdo,RockRock222555,2,0.025,0,0
MenoEdo,chrysib11,2,0.0308,0,0
MenoEdo,klikr,2,0.0444,0,0
MenoEdo,mpantazo,2,0.0488,0,0
MenoEdo,paliakaravana59,2,0.0202,0,1
NodarasSpiros,hatz_patty,2,0.0377,0,1
NonameTZ,RockRock222555,2,0.0364,0,2
NonameTZ,angelikitsakani,2,0.0357,0,2
PitSpencer,RockRock222555,2,0.0294,0,2
PitSpencer,klikr,2,0.0606,0,0
RockRock222555,TsigkaEfi,2,0.0345,0,0
RockRock222555,paliakaravana59,2,0.0168,0,1
SagamoreMount,Track11John,2,0.009,0,1
TheMadoula,hatz_patty,2,0.0312,0,1
Track11John,Volcom40893832,2,0.0091,0,0
Track11John,dimitris7987,2,0.0091,0,0
Track11John,klikr,2,0.0086,0,1
Track11John,paliakaravana59,2,0.007,0,2
Track11John,steiger_st28082,2,0.009,0,1
Track11John,tasoskar11,2,0.0091,0,2
Volcom40893832,hatz_patty,2,0.0377,0,1
Volcom40893832,nickthegreek5,2,0.0137,0,0
Xeniaxe19580370,nickthegreek5,2,0.0128,0,1
Xeniaxe19580370,paliakaravana59,2,0.0247,0,1
angelikitsakani,johnblandos,2,0.0235,0,0
angelikitsakani,sinakatsarou,2,0.0233,0,0
evangelia_re,nickthegreek5,2,0.0137,0,1
galex1908,nickthegreek5,2,0.0127,0,0
giannMak,ptableart,2,0.0256,0,1
giannMak,teo_ntaleki,2,0.025,0,0
hatz_patty,paliakaravana59,2,0.0167,0,0
mpantazo,vythos70,2,0.0333,0,1
nickthegreek5,ptableart,2,0.0136,0,0
nickthegreek5,steiger_st28082,2,0.0134,0,0
steiger_st28082,vythos70,2,0.037,0,2
